L I	L III	L II(Calc.)
0.00335693	0.0195313	0.0228882
0.00305176	0.0210571	0.0241089
0.00457764	0.0210571	0.0256348
0.00274658	0.020752	0.0234985
-0.00244141	0.0195313	0.0170898
-0.00701904	0.0158691	0.0088501
-0.00793457	0.0106812	0.00274658
-0.00701904	0.00457764	-0.00244141
-0.00640869	-0.00213623	-0.00854492
-0.00976563	-0.00762939	-0.017395
-0.0164795	-0.012207	-0.0286865
-0.0247192	-0.0164795	-0.0411987
-0.032959	-0.0195313	-0.0524902
-0.039978	-0.0219727	-0.0619507
-0.0460815	-0.0222778	-0.0683594
-0.0524902	-0.0204468	-0.072937
-0.0585938	-0.0167847	-0.0753784
-0.062561	-0.0140381	-0.0765991
-0.062561	-0.0140381	-0.0765991
-0.0622559	-0.0125122	-0.0747681
-0.0628662	-0.00946045	-0.0723267
-0.0628662	-0.00610352	-0.0689697
-0.062561	-0.00244141	-0.0650024
-0.0619507	0.000305176	-0.0616455
-0.0616455	0.00183105	-0.0598145
-0.0619507	0.00213623	-0.0598145
-0.0637817	0.00244141	-0.0613403
-0.0653076	0.00213623	-0.0631714
-0.0650024	0.000610352	-0.0643921
-0.0616455	-0.00244141	-0.0640869
-0.0564575	-0.00732422	-0.0637817
-0.0488281	-0.0143433	-0.0631714
-0.038147	-0.0234985	-0.0616455
-0.0302124	-0.0292969	-0.0595093
-0.0296021	-0.027771	-0.057373
-0.0314331	-0.0231934	-0.0546265
-0.0326538	-0.0204468	-0.0531006
-0.0354004	-0.0177002	-0.0531006
-0.0421143	-0.0134277	-0.055542
-0.0497437	-0.00854492	-0.0582886
-0.0537109	-0.00732422	-0.0610352
-0.055542	-0.00915527	-0.0646973
-0.057373	-0.0115967	-0.0689697
-0.0585938	-0.0158691	-0.0744629
-0.0582886	-0.022583	-0.0808716
-0.055542	-0.0308228	-0.0863647
-0.0506592	-0.0393677	-0.0900269
-0.0427246	-0.0482178	-0.0909424
-0.0317383	-0.0552368	-0.0869751
-0.017395	-0.0598145	-0.0772095
-0.0012207	-0.0601196	-0.0613403
0.0177002	-0.0540161	-0.0363159
