Stethoscope	ECG
0.0454712	0.00762939
0.154114	-0.00183105
0.195923	-0.00579834
0.166321	-0.00640869
0.0875854	-0.00396729
-0.00732422	0.000610352
-0.0848389	0.00579834
-0.122986	0.0100708
-0.12146	0.0137329
-0.0946045	0.0164795
-0.0634766	0.0161743
-0.038147	0.010376
-0.0177002	0
0.00823975	-0.0106812
0.0317383	-0.0192261
0.0491333	-0.0256348
0.0561523	-0.0302124
0.0540161	-0.0350952
0.0424194	-0.0366211
0.0231934	-0.0332642
0.0012207	-0.0262451
-0.0198364	-0.0161743
-0.0286865	-0.00457764
-0.027771	0.00152588
-0.0360107	-0.000305176
-0.0463867	-0.00183105
-0.038147	0.000305176
-0.0201416	0.00640869
-0.0149536	0.0128174
-0.0259399	0.0204468
-0.0314331	0.0305176
-0.0180054	0.0384521
0.0164795	0.043335
0.0588989	0.0479126
0.083313	0.0546265
0.0808716	0.0616455
0.0543213	0.0643921
0.0247192	0.0592041
0.0131226	0.0485229
0.0198364	0.0387573
0.0119019	0.0326538
-0.0170898	0.0299072
-0.0463867	0.032959
-0.0811768	0.0375366
-0.117188	0.0436401
-0.117188	0.0527954
-0.0546265	0.0646973
0.0350952	0.0772095
0.0875854	0.0872803
0.0845337	0.0924683
0.0463867	0.0933838
0.00732422	0.090332
-0.0186157	0.0848389
-0.0274658	0.0787354
-0.0253296	0.0701904
-0.0131226	0.057373
0.00244141	0.0396729
0.00732422	0.0204468
0.00549316	0.00762939
0.00946045	0.00335693
0.0234985	0.000305176
0.0228882	-0.00640869
-0.00671387	-0.0134277
-0.0488281	-0.017395
-0.0686646	-0.0183105
-0.0448608	-0.0189209
0.00488281	-0.0189209
0.0488281	-0.0164795
0.0653076	-0.0158691
0.062561	-0.0189209
0.0537109	-0.0231934
0.0448608	-0.0244141
0.0393677	-0.0216675
0.0393677	-0.0198364
0.0418091	-0.0201416
0.0289917	-0.0210571
-0.0167847	-0.020752
-0.0759888	-0.0228882
-0.114136	-0.0238037
-0.105591	-0.0216675
-0.0512695	-0.0201416
0.00518799	-0.0198364
0.0317383	-0.0195313
0.0265503	-0.0167847
0.0137329	-0.0119019
0.0109863	-0.00793457
0.0180054	-0.00671387
0.0244141	-0.00823975
0.0158691	-0.010376
-0.0119019	-0.0131226
-0.0405884	-0.0180054
-0.055542	-0.0244141
-0.0500488	-0.0292969
-0.032959	-0.0326538
-0.0134277	-0.0375366
-0.0012207	-0.0460815
0.00793457	-0.0531006
0.012207	-0.0534058
0.0106812	-0.0479126
-0.00274658	-0.0421143
-0.0204468	-0.038147
-0.0323486	-0.0372314
-0.027771	-0.0396729
0.00732422	-0.0439453
0.0750732	-0.0463867
0.140686	-0.0393677
0.134277	-0.0189209
0.0952148	0.0131226
0.0283813	0.0567627
-0.00213623	0.113831
0.0598145	0.185242
0.189514	0.271606
0.26947	0.369873
0.143433	0.46814
-0.0949097	0.559998
-0.339355	0.641174
-0.449219	0.700378
-0.428162	0.723877
-0.348206	0.705872
-0.256653	0.65094
-0.151978	0.567932
-0.0112915	0.466309
0.14801	0.352478
0.307922	0.235901
0.401611	0.123291
0.384216	0.0201416
0.262146	-0.0662231
0.109863	-0.1297
0	-0.170288
-0.0341797	-0.190735
-0.0280762	-0.196838
-0.132446	-0.191345
-0.279846	-0.177612
-0.316467	-0.158997
-0.218811	-0.140076
-0.144043	-0.120544
-0.152588	-0.101318
-0.14801	-0.0830078
-0.00732422	-0.0643921
0.251465	-0.0466919
0.501709	-0.0314331
0.645447	-0.0204468
0.676575	-0.0158691
0.630493	-0.0167847
0.4776	-0.0189209
0.161133	-0.0186157
-0.274048	-0.0158691
-0.663452	-0.0109863
-0.89325	-0.00579834
-0.952454	-0.00183105
-0.856018	0.0012207
-0.637512	0.00396729
-0.344849	0.00640869
-0.0119019	0.00823975
0.361023	0.00732422
0.726929	0.00183105
0.961609	-0.00762939
0.944519	-0.0210571
0.667114	-0.0311279
0.245667	-0.0314331
-0.158997	-0.0244141
-0.437622	-0.0149536
-0.574036	-0.00701904
-0.601501	0
-0.541382	0.00946045
-0.398865	0.0216675
-0.182495	0.0317383
0.0698853	0.0363159
0.296631	0.0372314
0.439148	0.0366211
0.455933	0.0357056
0.342407	0.0363159
0.154419	0.038147
-0.0256348	0.0390625
-0.134888	0.0375366
-0.157166	0.0344849
-0.104675	0.0311279
-0.0100708	0.0296021
0.078125	0.0289917
0.126038	0.0305176
0.118103	0.0338745
0.0650024	0.0350952
-0.0112915	0.0314331
-0.088501	0.0265503
-0.142212	0.0247192
-0.15564	0.0265503
-0.13031	0.0338745
-0.0891113	0.043335
-0.0622559	0.0466919
-0.0592041	0.0445557
-0.0543213	0.0418091
-0.0354004	0.0384521
-0.00732422	0.03479
0.0177002	0.0323486
0.0350952	0.0344849
0.0421143	0.0424194
0.0424194	0.0509644
0.0408936	0.0540161
0.0506592	0.0546265
0.0775146	0.057373
0.105286	0.0613403
0.11261	0.0640869
0.0814819	0.0643921
0.0216675	0.0604248
-0.0341797	0.0534058
-0.0646973	0.0457764
-0.0643921	0.0418091
-0.0402832	0.0415039
-0.00732422	0.0405884
0.0228882	0.0393677
0.0430298	0.0408936
0.0494385	0.0469971
0.0430298	0.0570679
0.0140381	0.067749
-0.0354004	0.078125
-0.0946045	0.0881958
-0.140076	0.0982666
-0.150452	0.108032
-0.121765	0.117188
-0.0714111	0.125122
-0.017395	0.131531
0.0326538	0.138855
0.067749	0.150757
0.083313	0.163879
0.0839233	0.17334
0.0726318	0.178833
0.0512695	0.181885
0.0292969	0.184021
0.0109863	0.183716
-0.00823975	0.18158
-0.0274658	0.1828
-0.0384521	0.187378
-0.0335693	0.194397
-0.0170898	0.198669
-0.00152588	0.198059
0.00549316	0.194702
0.00640869	0.192871
0.0109863	0.193481
0.0183105	0.194397
0.0125122	0.193481
-0.00823975	0.191956
-0.0320435	0.191345
-0.0344849	0.19043
-0.017395	0.188293
0.00762939	0.185852
0.0274658	0.179443
0.0457764	0.17334
0.0738525	0.178223
0.104675	0.187988
0.0997925	0.190125
0.0515747	0.180359
-0.00854492	0.161743
-0.0469971	0.143127
-0.0509644	0.128784
-0.0384521	0.115051
-0.0289917	0.0979614
-0.03479	0.0790405
-0.0534058	0.0637817
-0.0680542	0.0527954
-0.0701904	0.0463867
-0.0445557	0.045166
0.0115967	0.0479126
0.0744629	0.0549316
0.0961304	0.0613403
0.0521851	0.0646973
-0.0210571	0.0689697
-0.0735474	0.071106
-0.0827026	0.0686646
-0.0549316	0.0628662
-0.0137329	0.0561523
0.0143433	0.0515747
0.0265503	0.0482178
0.0314331	0.0454712
0.0271606	0.0448608
0.0161743	0.0457764
0.0106812	0.0494385
0.0158691	0.0537109
0.0372314	0.0549316
0.0549316	0.0515747
0.0494385	0.0460815
0.0198364	0.0378418
-0.0128174	0.0256348
-0.0289917	0.0125122
-0.0363159	0.0012207
-0.071106	-0.00579834
-0.133362	-0.00946045
-0.21698	-0.00976563
-0.247498	-0.0088501
-0.146484	-0.00823975
0.0756836	-0.00762939
0.327454	-0.00671387
0.461731	-0.00396729
0.370178	0.000915527
0.120239	0.00427246
-0.0967407	0.00152588
-0.172119	-0.00396729
-0.161133	-0.00701904
-0.162659	-0.00610352
-0.176392	-0.00488281
-0.159302	-0.00427246
-0.103149	-0.00335693
-0.0189209	-0.00366211
0.0811768	-0.0012207
0.178833	0.00518799
0.219421	0.010376
0.166016	0.0128174
0.0537109	0.0134277
-0.0274658	0.0125122
-0.0442505	0.0106812
-0.0561523	0.00823975
-0.102844	0.00671387
-0.154419	0.00610352
-0.15564	0.00671387
-0.0949097	0.010376
0.00793457	0.0164795
0.107727	0.0195313
0.158386	0.0192261
0.152283	0.0195313
0.111084	0.0247192
0.0628662	0.0292969
0.0241089	0.0299072
-0.00762939	0.0299072
-0.0317383	0.0308228
-0.0491333	0.0296021
-0.057373	0.0238037
-0.0579834	0.0167847
-0.0680542	0.0140381
-0.078125	0.0161743
-0.0662231	0.0219727
-0.0354004	0.0268555
-0.0100708	0.0280762
0.000305176	0.0238037
0.0198364	0.0167847
0.0534058	0.0134277
0.0811768	0.0134277
0.0863647	0.0158691
0.0735474	0.0195313
0.0488281	0.0219727
0.0238037	0.0219727
0.00335693	0.0213623
-0.0109863	0.0213623
-0.0323486	0.0231934
-0.0640869	0.027771
-0.0878906	0.0274658
-0.0860596	0.0186157
-0.055542	0.00762939
-0.0201416	-0.00244141
0.0088501	-0.00946045
0.0305176	-0.0119019
0.0402832	-0.0115967
0.0283813	-0.00823975
-0.00152588	-0.0012207
-0.0283813	0.00640869
-0.0411987	0.0192261
-0.0192261	0.0344849
0.00518799	0.0442505
0.0384521	0.0494385
0.0747681	0.0518799
0.0720215	0.0500488
0.0161743	0.0445557
-0.0131226	0.0375366
0.0198364	0.0320435
0.0250244	0.0289917
-0.0238037	0.0262451
-0.0439453	0.0210571
-0.0500488	0.0152588
-0.0454712	0.012207
-0.0308228	0.0131226
0.010376	0.0146484
0.0390625	0.0158691
0.032959	0.017395
0.00854492	0.0183105
-0.00640869	0.0177002
-0.00610352	0.015564
-0.00701904	0.0134277
-0.015564	0.0128174
-0.0357056	0.0146484
-0.0491333	0.0189209
-0.0384521	0.0228882
-0.0234985	0.0244141
-0.00732422	0.0222778
-0.00946045	0.0201416
-0.00518799	0.0204468
0.00640869	0.020752
0.0305176	0.0189209
0.0509644	0.015564
0.0534058	0.0100708
0.0332642	0.00244141
0.0238037	-0.00579834
0.0341797	-0.0170898
0.0491333	-0.027771
0.0418091	-0.03479
0.0143433	-0.0378418
-0.00335693	-0.0378418
-0.00213623	-0.0357056
0.00793457	-0.0335693
-0.000305176	-0.0317383
-0.0234985	-0.0238037
-0.0546265	-0.0119019
-0.0778198	-0.00305176
-0.0790405	0.00305176
-0.050354	0.00823975
-0.00640869	0.0119019
0.0311279	0.0134277
0.0506592	0.0134277
0.0469971	0.0109863
0.0280762	0.00549316
-0.00152588	-0.00152588
-0.015564	-0.00427246
-0.015564	-0.000610352
0.00274658	0.00640869
0.0286865	0.0146484
0.0579834	0.0204468
0.06073	0.020752
0.0344849	0.0204468
-0.0170898	0.0238037
-0.0582886	0.0271606
-0.0692749	0.0286865
-0.0442505	0.0280762
-0.00549316	0.0256348
0.010376	0.0213623
-0.00610352	0.0170898
-0.0338745	0.0158691
-0.0482178	0.0170898
-0.0491333	0.0189209
-0.0402832	0.0216675
-0.0289917	0.0231934
-0.00793457	0.020752
0.020752	0.015564
0.0436401	0.0106812
0.0482178	0.00640869
0.045166	0.00244141
0.0549316	-0.00213623
0.0671387	-0.00518799
0.0485229	-0.00701904
0.00640869	-0.00610352
-0.0384521	-0.00305176
-0.0631714	-0.00427246
-0.0616455	-0.00823975
-0.0366211	-0.00976563
-0.00701904	-0.00823975
0.0177002	-0.00549316
0.0244141	-0.00427246
0.0112915	-0.00457764
-0.0112915	-0.00305176
-0.0170898	0.000305176
0.0012207	0.00274658
0.0250244	0.00640869
0.038147	0.0152588
0.0320435	0.0280762
0.00457764	0.0427246
-0.0231934	0.055542
-0.0344849	0.0634766
-0.00762939	0.0701904
0.038147	0.0799561
0.0811768	0.0912476
0.282288	0.101318
0.176697	0.107117
-0.261841	0.107727
-0.675964	0.104675
-0.598145	0.101318
-0.113525	0.0964355
0.352173	0.0894165
0.522766	0.0823975
0.437012	0.0790405
0.239258	0.0799561
0.0543213	0.083313
-0.0619507	0.0869751
-0.111389	0.0900269
-0.112	0.0918579
-0.0860596	0.0927734
-0.0790405	0.0933838
-0.0952148	0.0918579
-0.108948	0.088501
-0.0784302	0.0827026
-0.00488281	0.0747681
0.0576782	0.0662231
0.0692749	0.0576782
0.0457764	0.0512695
0.0115967	0.0445557
-0.0119019	0.0378418
-0.0204468	0.0344849
-0.00457764	0.032959
0.0192261	0.0296021
0.0299072	0.0216675
0.0204468	0.00946045
0.0112915	-0.00488281
0.0250244	-0.015564
0.0430298	-0.0192261
0.0265503	-0.0186157
-0.0292969	-0.020752
-0.0744629	-0.0283813
-0.0839233	-0.0375366
-0.0756836	-0.0424194
-0.0564575	-0.0408936
-0.0317383	-0.03479
0.00549316	-0.0265503
0.0411987	-0.0186157
0.050354	-0.0109863
0.0360107	-0.00213623
0.0109863	0.00640869
-0.00854492	0.0140381
-0.000915527	0.0204468
0.0320435	0.0238037
0.0634766	0.0234985
0.0668335	0.0189209
0.0476074	0.012207
0.0384521	0.00457764
0.043335	-0.00518799
0.0402832	-0.017395
0.0146484	-0.0296021
-0.0158691	-0.038147
-0.0390625	-0.0378418
-0.0552368	-0.0305176
-0.0695801	-0.022583
-0.0793457	-0.0161743
-0.0784302	-0.0109863
-0.0604248	-0.00823975
-0.0280762	-0.00823975
0.00579834	-0.0115967
0.0311279	-0.0198364
0.0512695	-0.0344849
0.0616455	-0.050354
0.0582886	-0.0634766
0.0375366	-0.0708008
0.00427246	-0.0671387
-0.0241089	-0.0521851
-0.0302124	-0.0262451
-0.000305176	0.015564
0.043335	0.0765991
0.0723267	0.155334
0.0613403	0.248413
0.0183105	0.350647
-0.027771	0.454712
-0.0576782	0.55603
